序号,学校名称,主管部门,省份,城市,985,211,双一流,类型,层次,性质,状态,id,错误信息,日期
1,北京大学,教育部,北京,北京,985,211,双一流,综合,本科,公办,,31,未找到院校标题,2026/6/15
2,中国人民大学,教育部,北京,北京,985,211,双一流,综合,本科,公办,,46,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
3,清华大学,教育部,北京,北京,985,211,双一流,综合,本科,公办,,140,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
4,北京交通大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,38,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
5,北京工业大学,北京市,北京,北京,,211,双一流,理工,本科,公办,,30,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
6,北京航空航天大学,工业和信息化部,北京,北京,985,211,双一流,理工,本科,公办,,47,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
7,北京理工大学,工业和信息化部,北京,北京,985,211,双一流,理工,本科,公办,,143,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
8,北京科技大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,144,,2026/6/15
9,北方工业大学,北京市,北京,北京,,,,理工,本科,公办,,561,年份=年份,2026/6/15
10,北京化工大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,556,未找到院校标题,2026/6/15
11,北京工商大学,北京市,北京,北京,,,,财经,本科,公办,,570,,2026/6/15
12,北京服装学院,北京市,北京,北京,,,,艺术,本科,公办,,567,,2026/6/15
13,北京邮电大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,48,,2026/6/15
14,北京印刷学院,北京市,北京,北京,,,,理工,本科,公办,,590,未找到院校标题,2026/6/15
15,北京建筑大学,北京市,北京,北京,,,,理工,本科,公办,,572,,2026/6/15
16,北京石油化工学院,北京市,北京,北京,,,,0,本科,公办,,580,,2026/6/15
17,北京电子科技学院,中央办公厅,北京,北京,,,,理工,本科,公办,,565,,2026/6/15
18,中国农业大学,教育部,北京,北京,985,211,双一流,农林,本科,公办,,557,,2026/6/15
19,北京农学院,北京市,北京,北京,,,,0,本科,公办,,578,年份=年份,2026/6/15
20,北京林业大学,教育部,北京,北京,,211,双一流,农林,本科,公办,,43,,2026/6/15
21,北京协和医学院,国家卫生健康委员会,北京,北京,,,双一流,医药,本科,公办,,573,年份=年份,2026/6/15
22,首都医科大学,北京市,北京,北京,,,,医药,本科,公办,,584,年份=年份,2026/6/15
23,北京中医药大学,教育部,北京,北京,,211,双一流,医药,本科,公办,,49,,2026/6/15
24,北京师范大学,教育部,北京,北京,985,211,双一流,师范,本科,公办,,52,,2026/6/15
25,首都师范大学,北京市,北京,北京,,,双一流,师范,本科,公办,,589,,2026/6/15
26,首都体育学院,北京市,北京,北京,,,,体育,本科,公办,,587,,2026/6/15
27,北京外国语大学,教育部,北京,北京,,211,双一流,语言,本科,公办,,39,,2026/6/15
28,北京第二外国语学院,北京市,北京,北京,,,,语言,本科,公办,,2614,,2026/6/15
29,北京语言大学,教育部,北京,北京,,,,语言,本科,公办,,592,,2026/6/15
30,中国传媒大学,教育部,北京,北京,,211,双一流,综合,本科,公办,,558,,2026/6/15
31,中央财经大学,教育部,北京,北京,,211,双一流,财经,本科,公办,,566,,2026/6/15
32,对外经济贸易大学,教育部,北京,北京,,211,双一流,财经,本科,公办,,53,,2026/6/15
33,北京物资学院,北京市,北京,北京,,,,财经,本科,公办,,586,,2026/6/15
34,首都经济贸易大学,北京市,北京,北京,,,,财经,本科,公办,,875,,2026/6/15
35,中国消防救援学院,应急管理部,北京,北京,,,,0,本科,公办,,3428,,2026/6/15
36,外交学院,外交部,北京,北京,,,双一流,语言,本科,公办,,581,,2026/6/15
